symbol,timestamp,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty
BNBUSDT,2025-03-16 00:32:02.515,619.26,2.065,619.27,27.177
LTCUSDT,2025-03-16 06:44:27.405,92.43,58.807,92.44,35.484
XRPUSDT,2025-03-16 00:23:53.179,2.3893,18.0,2.3894,34361.0
LTCUSDT,2025-03-15 23:43:26.779,92.43,79.429,92.44,19.239
BTCUSDT,2025-03-16 05:17:03.484,84338.54,6.68125,84338.55,11.9063
LTCUSDT,2025-03-15 18:53:11.019,93.24,12.119,93.25,51.342
BTCUSDT,2025-03-16 02:35:53.283,84002.78,1.29254,84002.79,7.16118
ETHUSDT,2025-03-16 03:32:18.489,1927.51,38.4726,1927.52,37.3032
XRPUSDT,2025-03-16 02:54:58.486,2.3738,12960.0,2.3739,8419.0
ETHUSDT,2025-03-16 04:41:53.563,1925.71,0.5604,1925.72,67.2236
ETHUSDT,2025-03-16 03:39:27.799,1929.12,31.5361,1929.13,75.2859
BTCUSDT,2025-03-16 03:11:04.017,84044.2,5.07649,84044.21,0.06704
BTCUSDT,2025-03-15 23:59:32.514,84338.43,1.67477,84338.44,2.96886
BTCUSDT,2025-03-16 00:15:50.655,84323.92,6.87145,84323.93,1.6735
LTCUSDT,2025-03-16 02:50:57.521,91.61,40.796,91.62,112.92
BNBUSDT,2025-03-15 18:44:55.779,612.72,7.243,612.73,6.817
LTCUSDT,2025-03-15 20:39:19.149,93.12,45.644,93.13,50.206
BNBUSDT,2025-03-15 21:01:40.051,615.66,6.658,615.67,22.747
ETHUSDT,2025-03-16 05:23:04.900,1930.82,153.3746,1930.83,0.0144
LTCUSDT,2025-03-15 20:52:37.841,93.15,34.555,93.16,25.651
XRPUSDT,2025-03-15 20:22:59.953,2.4143,21718.0,2.4144,335.0
BNBUSDT,2025-03-15 21:30:16.525,617.99,7.345,618.0,3.395
BNBUSDT,2025-03-15 21:11:46.310,616.74,7.687,616.75,10.841
ETHUSDT,2025-03-16 02:37:53.753,1926.07,1.1977,1926.08,101.6979
BNBUSDT,2025-03-16 00:45:07.567,619.99,73.843,620.0,1166.518
BNBUSDT,2025-03-15 19:06:16.591,612.71,5.638,612.72,17.511
BTCUSDT,2025-03-15 19:48:52.096,84318.18,11.02709,84318.19,0.02428
ETHUSDT,2025-03-16 05:59:15.263,1932.28,71.2465,1932.29,36.784
XRPUSDT,2025-03-16 06:36:25.336,2.394,4723.0,2.3941,1332.0
LTCUSDT,2025-03-15 22:37:41.413,93.19,62.841,93.2,43.372
BTCUSDT,2025-03-16 01:47:39.243,84043.38,3.05737,84043.39,1.95305
