symbol,timestamp,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,mid_price,spread,volume_imbalance,rolling_volatility,future_mid,pct_change,label
BNBUSDT,2025-03-15 18:55:11.498,610.93,18.211,610.94,7.356,610.935,0.0100000000001045,0.4245707355479443,0.735282258727495,611.635,0.001145784739784176,1
XRPUSDT,2025-03-15 18:50:03.365,2.4036,3049.0,2.4037,5817.0,2.40365,0.0001000000000002,-0.3122039251067987,0.0033859841832019,2.4048499999999997,0.0004992407380441695,1
ETHUSDT,2025-03-15 18:43:55.555,1932.79,2.3872,1932.8,56.3416,1932.795,0.0099999999999909,-0.9187042812182942,15.905310259295304,1931.225,-0.0008122951477006944,-1
XRPUSDT,2025-03-15 18:44:55.780,2.4018,18993.0,2.4019,9021.0,2.40185,9.999999999976694e-05,0.3559648747053773,0.0528497335218763,2.40365,0.0007494223202946902,1
ETHUSDT,2025-03-15 18:46:56.229,1932.98,20.9921,1932.99,3.2449,1932.985,0.0099999999999909,0.7322358374665857,1.2607422857632722,1933.425,0.0002276272190420798,1
BNBUSDT,2025-03-15 18:40:54.887,612.59,36.796,612.6,0.996,612.595,0.0099999999999909,0.9472904315867668,14.467441261904831,612.805,0.00034280397326116386,1
XRPUSDT,2025-03-15 18:38:54.409,2.4097,6317.0,2.4098,7166.0,2.40975,0.0001000000000002,-0.0629681821552599,0.0849338173717238,2.40015,-0.003983815748521561,-1
BTCUSDT,2025-03-15 18:51:10.552,84207.45,0.41463,84207.46,7.51224,84207.455,0.0100000000093132,-0.8953861979628956,29.332555766181105,84229.995,0.0002676722625092232,1
LTCUSDT,2025-03-15 18:40:54.889,93.18,85.536,93.19,0.169,93.185,0.0099999999999909,0.9960562393097188,1.1283793688294694,93.165,-0.00021462681762081902,-1
BTCUSDT,2025-03-15 19:11:18.004,84200.17,0.02155,84200.18,7.59595,84200.17499999999,0.0099999999947613,-0.9943419744084778,19.83214531450226,84207.455,8.646062790265447e-05,0
LTCUSDT,2025-03-15 18:57:11.989,93.09,33.216,93.1,44.267,93.095,0.0099999999999909,-0.1426248338161113,0.0630784344199801,92.715,-0.004081851871743869,-1
ETHUSDT,2025-03-15 18:58:13.392,1933.19,22.7275,1933.2,101.1701,1933.195,0.0099999999999909,-0.6331244511085666,0.91795001074256,1930.625,-0.0013294054660807299,-1
XRPUSDT,2025-03-15 18:49:03.146,2.4025,11021.0,2.4026,4098.0,2.4025499999999997,0.0001000000000002,0.4579006548049091,0.0038364335289729,2.40405,0.0006243366423175613,1
BTCUSDT,2025-03-15 19:10:17.774,84194.46,5.27102,84194.47,0.00424,84194.465,0.0099999999947613,0.9983924944014276,22.130929312162795,84185.57500000001,-0.00010558888877059634,-1
XRPUSDT,2025-03-15 18:45:56.003,2.4034,9019.0,2.4035,366.0,2.4034500000000003,0.0001000000000002,0.9220031965893212,0.0045285391316265,2.40615,0.0011233851338698455,1
BNBUSDT,2025-03-15 19:07:17.103,613.0,1.764,613.01,28.477,613.005,0.0099999999999909,-0.8833371909383495,0.7928605033529033,612.885,-0.00019575696772457737,-1
BNBUSDT,2025-03-15 18:47:56.456,612.56,36.081,612.57,1.147,612.565,0.0100000000001045,0.9383797139415548,0.3979335511244805,611.355,-0.0019753005803466346,-1
BNBUSDT,2025-03-15 19:11:18.009,613.35,13.804,613.36,24.812,613.355,0.0099999999999909,-0.2850631861702239,0.591480252323142,612.395,-0.0015651621002519525,-1
LTCUSDT,2025-03-15 18:37:54.182,93.29,13.616,93.3,149.682,93.295,0.0099999999999909,-0.8332373941607834,1.6339318631244482,93.035,-0.002786858888472106,-1
BTCUSDT,2025-03-15 18:36:53.934,84263.52,7.78224,84263.53,0.04721,84263.525,0.0099999999947613,0.9879404032365744,498.6587731605594,84230.285,-0.0003944767323701529,-1
LTCUSDT,2025-03-15 19:09:17.543,92.67,63.996,92.68,17.934,92.675,0.0100000000000051,0.5622116440177942,0.0899382504214467,92.765,0.0009711356892366163,1
LTCUSDT,2025-03-15 18:49:03.148,93.06,0.169,93.07,70.604,93.065,0.0099999999999909,-0.9952241672678532,0.0631136540957552,93.225,0.0017192284962122882,1
LTCUSDT,2025-03-15 18:53:11.019,93.24,12.119,93.25,51.342,93.245,0.0100000000000051,-0.6180646380268094,0.0737940075855862,93.085,-0.00171590970025214,-1
BTCUSDT,2025-03-15 18:45:55.995,84227.27,4.94629,84227.28,1.36964,84227.275,0.0099999999947613,0.5662903158105136,47.70249312139973,84207.455,-0.0002353156979136798,-1
ETHUSDT,2025-03-15 19:07:17.100,1929.99,28.371,1930.0,8.5964,1929.995,0.0099999999999909,0.534919956357515,1.5427828391868452,1930.585,0.0003057002738349817,1
XRPUSDT,2025-03-15 18:37:54.180,2.4104,7237.0,2.4105,7930.0,2.41045,9.999999999976694e-05,-0.0456913034878053,0.0981785278629362,2.4006499999999997,-0.004065630898794936,-1
BTCUSDT,2025-03-13 03:59:30.121,83558.31,2.20732,83558.32,6.1822,83558.315,0.0100000000093132,-0.4737911102497029,,84298.16500000001,0.0088542953504987,1
LTCUSDT,2025-03-15 18:36:53.949,93.27,18.78,93.28,34.602,93.275,0.0100000000000051,-0.2963920422059135,1.994041122946064,93.115,-0.0017153578129189043,-1
BTCUSDT,2025-03-15 19:13:18.621,84184.29,5.24043,84184.3,0.29098,84184.295,0.0100000000093132,0.8947899344022773,17.599708993743604,,,0
ETHUSDT,2025-03-15 19:13:20.649,1931.44,75.6379,1931.45,12.5514,1931.445,0.0099999999999909,0.7153532230423245,0.591217200171338,,,0
BNBUSDT,2025-03-15 19:02:15.633,611.42,27.234,611.43,1.334,611.425,0.0099999999999909,0.9066087927378156,0.2483635328380901,613.005,0.0025841272437339673,1
LTCUSDT,2025-03-15 18:50:03.366,93.11,13.119,93.12,22.81,93.115,0.0100000000000051,-0.2697264047789455,0.0625477595298797,93.235,0.001288728991032643,1
XRPUSDT,2025-03-15 19:12:18.258,2.4003,567.0,2.4004,9548.0,2.40035,9.999999999976694e-05,-0.8878892733555235,0.0017632356620714,,,0
ETHUSDT,2025-03-15 19:11:18.008,1930.21,1.6247,1930.22,162.4568,1930.215,0.0099999999999909,-0.9801964267159798,0.4552471856043067,1932.795,0.0013366386646048005,1
BNBUSDT,2025-03-15 18:37:54.179,613.02,4.751,613.03,11.571,613.025,0.0099999999999909,-0.4178409506078661,20.7153880002282,611.905,-0.0018270054239223597,-1
BTCUSDT,2025-03-15 19:12:18.241,84175.39,0.4216,84175.4,6.12924,84175.39499999999,0.0099999999947613,-0.8712836813732535,17.34341722697438,,,0
BTCUSDT,2025-03-15 18:40:54.884,84298.16,2.7813,84298.17,0.90539,84298.16500000001,0.0099999999947613,0.5088331253540895,293.9588594797992,84227.275,-0.0008409435721407929,-1
ETHUSDT,2025-03-15 19:16:21.324,1932.79,45.8014,1932.8,21.3718,1932.795,0.0099999999999909,0.3636807535797489,0.9747825968448022,,,0
LTCUSDT,2025-03-15 18:39:54.651,93.13,19.932,93.14,31.217,93.135,0.0100000000000051,-0.220629924295562,1.2393869452273538,93.115,-0.0002147420411232107,-1
ETHUSDT,2025-03-15 18:38:54.407,1934.18,3.0835,1934.19,82.9514,1934.185,0.0099999999999909,-0.9283197863973436,24.252920786302585,1932.795,-0.0007186489399927477,-1
LTCUSDT,2025-03-15 18:51:10.555,93.18,53.775,93.19,38.173,93.185,0.0099999999999909,0.1696828642091526,0.0625477595298797,93.205,0.00021462681762081902,1
BNBUSDT,2025-03-15 19:12:18.256,612.88,8.478,612.89,9.108,612.885,0.0099999999999909,-0.0358239508496395,0.2844019065403951,,,0
ETHUSDT,2025-03-15 19:08:17.324,1930.55,23.1598,1930.56,21.7992,1930.555,0.0099999999999909,0.0302631286215745,1.3525157628986657,1931.445,0.00046100732690851733,1
BTCUSDT,2025-03-15 18:56:11.709,84229.99,0.85207,84230.0,11.59261,84229.995,0.0099999999947613,-0.8630627699040371,26.01852194961494,84116.455,-0.001347975860618223,-1
BNBUSDT,2025-03-15 18:58:13.393,611.45,1.425,611.46,18.718,611.455,0.0099999999999909,-0.8585116413351974,0.3378707839781875,612.655,0.0019625319933599884,1
LTCUSDT,2025-03-15 18:47:56.459,93.14,39.583,93.15,8.555,93.145,0.0100000000000051,0.6445635463366647,0.0649871782224644,93.245,0.0010735949326320096,1
XRPUSDT,2025-03-15 19:04:16.145,2.3969,2155.0,2.397,4145.0,2.39695,9.999999999976694e-05,-0.3158730158725145,0.0032697264581481,2.40015,0.001335029933874337,1
BNBUSDT,2025-03-15 19:09:17.541,613.27,34.362,613.28,2.051,613.275,0.0099999999999909,0.8873479249478625,0.8121227329244093,612.965,-0.0005054828584239459,-1
BNBUSDT,2025-03-15 18:46:56.230,613.08,12.386,613.09,0.769,613.085,0.0099999999999909,0.8830862783100826,0.4376909107266807,611.645,-0.0023487770863747353,-1
XRPUSDT,2025-03-15 19:11:18.011,2.4022,141.0,2.4023,14707.0,2.40225,9.999999999976694e-05,-0.9810075431027876,0.0017637082147189,2.39945,-0.0011655739410969448,-1
LTCUSDT,2025-03-15 19:16:21.326,92.82,49.578,92.83,24.873,92.825,0.0100000000000051,0.3318289881490069,0.0466785699103021,,,0
BNBUSDT,2025-03-15 18:41:55.110,612.59,4.461,612.6,9.115,612.595,0.0099999999999909,-0.3428108424110114,13.399024484747276,613.085,0.0007998759376096917,1
BNBUSDT,2025-03-15 19:03:15.839,612.65,31.948,612.66,1.843,612.655,0.0099999999999909,0.8909176997156292,0.4898253657051914,613.155,0.0008161200022851361,1
LTCUSDT,2025-03-15 18:38:54.411,93.18,20.344,93.19,41.512,93.185,0.0099999999999909,-0.3422141748024097,1.3991515286058176,92.985,-0.0021462681762086477,-1
XRPUSDT,2025-03-15 19:08:17.328,2.4009,10701.0,2.401,7640.0,2.40095,9.999999999976694e-05,0.166893844392254,0.0030684958312938,2.40005,-0.00037485162123331305,-1
LTCUSDT,2025-03-15 18:54:11.242,93.22,31.061,93.23,43.473,93.225,0.0100000000000051,-0.1665280274550503,0.0551865523070793,93.085,-0.0015017430946634549,-1
BNBUSDT,2025-03-15 18:39:54.639,611.94,0.11,611.95,22.773,611.945,0.0099999999999909,-0.990385875544996,15.83980650134337,612.725,0.001274624353495776,1
BNBUSDT,2025-03-15 19:08:17.326,613.15,2.172,613.16,26.158,613.155,0.0099999999999909,-0.8466643131497831,0.8046842030672205,613.235,0.00013047271896998464,1
ETHUSDT,2025-03-15 19:03:15.837,1930.62,60.4297,1930.63,1.3289,1930.625,0.0100000000002182,0.9569646978790056,1.571736831236976,1930.555,-3.6257688572320536e-05,0
XRPUSDT,2025-03-15 18:59:14.630,2.4065,13455.0,2.4066,43.0,2.40655,0.0001000000000002,0.9936286857304832,0.0009982762921961,2.39695,-0.003989113045646371,-1
ETHUSDT,2025-03-15 19:09:17.538,1929.79,90.2007,1929.8,1.2668,1929.795,0.0099999999999909,0.9723005438027386,0.9029980927754048,1932.195,0.0012436554141760465,1
LTCUSDT,2025-03-15 19:01:15.419,92.73,49.456,92.74,15.357,92.735,0.0099999999999909,0.5261135882421561,0.1582684077410125,92.695,-0.00043133660430265007,-1
BNBUSDT,2025-03-15 18:45:56.002,612.8,43.61,612.81,1.101,612.805,0.0099999999999909,0.950750374415524,0.4160341866287588,611.805,-0.0016318404712755282,-1
BTCUSDT,2025-03-15 18:57:11.982,84213.41,0.12547,84213.42,9.28914,84213.41500000001,0.0099999999947613,-0.9733456818993608,25.346361562217044,84139.995,-0.0008718325934177209,-1
ETHUSDT,2025-03-15 19:12:18.255,1930.58,42.7304,1930.59,7.7445,1930.585,0.0099999999999909,0.6931346073606615,0.467850878427186,,,0
LTCUSDT,2025-03-15 19:03:15.841,92.77,24.119,92.78,557.582,92.775,0.0100000000000051,-0.9170742357170252,0.2034043591797358,92.785,0.00010778765831302511,1
XRPUSDT,2025-03-15 18:41:55.111,2.4065,7721.0,2.4066,9543.0,2.40655,0.0001000000000002,-0.105537534754341,0.0640854489092865,2.40455,-0.0008310652178430631,-1
BNBUSDT,2025-03-13 03:59:30.128,577.09,30.149,577.1,0.552,577.095,0.0099999999999909,0.9640402589609328,,612.595,0.061515001862778224,1
XRPUSDT,2025-03-15 18:56:11.715,2.4062,2135.0,2.4063,7270.0,2.40625,9.999999999976694e-05,-0.5459861775645444,0.0012893150636437,2.40185,-0.0018285714285714118,-1
XRPUSDT,2025-03-15 18:55:11.499,2.4048,20181.0,2.4049,887.0,2.4048499999999997,0.0001000000000002,0.9157964685775034,0.0012376052143844,2.40615,0.0005405742561906476,1
BTCUSDT,2025-03-15 19:05:16.354,84156.82,1.50507,84156.83,1.68546,84156.82500000001,0.0099999999947613,-0.0565391955050126,39.6210726900375,84194.465,0.00044726021923931734,1
XRPUSDT,2025-03-15 19:15:21.108,2.3985,355.0,2.3986,9362.0,2.39855,0.0001000000000002,-0.9269321807132582,0.0012649549838279,,,0
BTCUSDT,2025-03-15 18:59:13.903,84215.86,0.3388,84215.87,4.68809,84215.86499999999,0.0099999999947613,-0.8652049261766124,17.555946887295963,84142.015,-0.0008769131564461313,-1
BTCUSDT,2025-03-15 18:38:54.404,84256.33,3.33293,84256.34,2.01973,84256.33499999999,0.0099999999947613,0.2453359633428315,358.50656613000746,84176.745,-0.0009446173987985178,-1
XRPUSDT,2025-03-15 18:36:53.947,2.4101,9571.0,2.4102,3115.0,2.41015,0.0001000000000002,0.5089074570388546,0.1201374421235943,2.40655,-0.0014936829657903467,-1
